YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN AND NICOBAR ISLANDS,CHANDIGARH,DELHI,PONDICHERRY
1999,116360,1497,32011,46071,5570,92541,47329,12467,13533,30229,90532,61359,72655,23840,217198,2954,3211,1410,2610,38399,61139,74174,765,119704,4496,156809,11187,125299,838,3792,51175,2893
2000,126035,1607,32821,53656,5287,86431,51090,13262,13917,26663,91136,62909,66750,22372,210526,2765,3422,1463,3052,37386,63172,71764,814,126349,4778,160015,12582,129691,838,4274,53177,3305
2001,131750,1864,33668,50579,5492,93455,55036,13938,14185,28500,92788,66052,71525,25503,217963,2937,3651,1555,3402,39662,63995,79936,881,123901,5433,162926,13179,139057,857,4649,55222,3529
2002,134749,1775,35708,56975,5826,101603,58410,14617,14907,29298,97765,70885,67795,25072,232994,2921,3759,1705,3741,39377,65085,70333,947,124521,5796,168198,14413,143931,948,5235,59454,3879
2003,147950,1968,37905,53301,6225,118525,64156,15596,15673,31515,99669,75479,75400,29782,250989,3240,3993,1760,3912,45127,69149,92712,1022,132281,6136,177054,15553,152388,1048,5804,62694,4053
2004,158714,2222,39207,60045,6891,125599,69688,17076,16519,36886,109775,82590,77874,31377,272860,3540,4270,1839,4100,51020,72587,90445,1102,147994,6639,185920,17599,162491,1088,6397,69479,3500
2005,167555,2286,40387,58549,7465,143830,75983,18542,17284,35233,121068,91043,81797,31889,312392,3773,4603,1975,4527,53284,76145,96520,1212,169349,7076,196771,20094,172722,1146,7096,76635,4433
2006,185154,2410,42211,68682,8198,155994,84622,20001,18293,35823,133657,98235,89254,37956,355421,3839,4950,2063,4880,59918,84358,107881,1283,195867,7685,212401,22515,186279,1352,8145,86150,4599
2007,208244,2699,44016,72237,8555,174440,91246,21244,19423,43803,150429,107003,93472,41024,396788,4050,5106,2290,5277,65056,91663,112796,1358,208136,8193,226013,26451,200772,1491,8746,95861,4963
2008,213567,2921,46637,83250,9227,181896,98272,22281,20639,42041,161131,113582,105289,43715,403021,4346,5762,2634,5612,69945,96745,122281,1536,219144,9057,243188,29266,208864,1718,9403,107802,5418
2009,228028,3163,50934,87232,10098,207599,110550,23490,21639,46208,161171,123852,115270,44929,441960,4644,6133,2936,5930,70509,102924,129408,2668,242085,9985,258314,34275,225084,1939,9891,116665,6395
2010,243247,3300,53441,100552,12087,230317,118045,25457,22876,52931,177743,131778,121323,49261,492316,4507,6739,3478,6494,74953,109572,148846,2938,275101,10738,278942,37875,238732,2108,9889,126342,6823
2011,250456,3473,55628,110837,14584,245624,128124,27363,24105,55727,183075,139453,132153,52512,513169,4931,7526,3376,7026,77766,115476,162804,3317,295390,11719,294034,41651,247488,2286,10052,132567,7075
2012,251443,3530,56988,114928,12452,275059,136914,29162,24842,60652,195689,148208,143611,54906,541918,4937,7648,3603,7431,82363,121551,168763,3395,310659,12686,306986,44743,257789,2389,10867,140800,7237
2013,265367,3811,59658,119771,10733,295725,148810,31368,26030,61092,213370,155049,150980,60344,577375,5367,7679,4128,7937,88768,129131,178849,3605,328647,13874,322445,48112,263569,2560,11764,150210,8045
2014,292494,4441,62969,124050,13829,325293,157517,33698,24782,69188,221452,162458,158772,61031,612809,5836,7469,5250,8259,89838,134426,191663,3893,346821,16420,332571,51350,269714,2788,12084,163318,7492
2015,329278,4376,72088,130580,16088,357170,176106,36415,29745,64183,247403,174794,173499,62332,661626,6274,7652,5770,8387,96410,142348,206700,4250,377707,15974,360995,55615,286077,3011,13096,181894,7944
2016,351796,4548,77250,140313,17792,389051,194702,39827,30496,71538,280869,188596,196315,69220,727040,6517,8054,6341,8979,111701,152430,218119,4568,403830,18301,404933,61399,305911,3419,14156,194476,8532
2017,387936,4727,83971,151634,18064,436340,205264,42274,32324,77708,302064,201166,206842,71631,756622,7232,8333,7263,9438,120400,161734,229637,5177,438088,19850,420431,66261,326243,3862,15015,205447,9344
2018,411683,5058,87999,167613,18197,476856,222237,44847,34347,84656,321585,217153,225751,77218,787375,6942,8753,7441,10022,128834,170850,233955,5409,469311,22001,432612,68024,344810,4102,15825,213326,10952
2019,438788,5803,91305,174234,18613,511791,239932,46382,33506,85147,339908,221688,237819,81431,812120,7612,9182,6879,10554,131791,177423,246493,5647,481486,22668,446706,67955,364824,4319,16515,219924,11047
2020,437471,5632,85856,166952,17812,506757,227029,44356,32144,79693,338759,200778,229438,79402,752991,7815,8607,6209,10119,124231,170085,240355,5498,479327,21942,414758,64050,369580,-,14500,209093,10647
2021,487240,-,-,-,-,-,249361,47914,35920,86676,371948,215163,252343,-,-,-,9403,-,-,139029,181875,266916,5938,517626,23812,432455,68419,-,-,-,230905,11045