,year,state,nsdp
0,1999,Andhra Pradesh,157959.0282155
1,2000,Andhra Pradesh,171092.8680057
2,2001,Andhra Pradesh,178850.9966259
3,2002,Andhra Pradesh,182922.1475852
4,2003,Andhra Pradesh,200842.5423211
5,2004,Andhra Pradesh,215454.702683
6,2005,Andhra Pradesh,227456.6990491
7,2006,Andhra Pradesh,251347.1421205
8,2007,Andhra Pradesh,282692.2057365
9,2008,Andhra Pradesh,289918.0574615
10,2009,Andhra Pradesh,309549.0583031
11,2010,Andhra Pradesh,330209.0564638
12,2011,Andhra Pradesh,339995.524194
13,2012,Andhra Pradesh,341335.223157
14,2013,Andhra Pradesh,360239.225775
15,2014,Andhra Pradesh,397063.832491
16,2015,Andhra Pradesh,446996.86
17,2016,Andhra Pradesh,477565.55262
18,2017,Andhra Pradesh,526625.955496
19,2018,Andhra Pradesh,558861.685174
20,2019,Andhra Pradesh,595658.160297
21,2020,Andhra Pradesh,593868.879593
22,2021,Andhra Pradesh,661432.005732
23,1999,Arunachal Pradesh,4408.6501819
24,2000,Arunachal Pradesh,4732.5990931
25,2001,Arunachal Pradesh,5489.4615492
26,2002,Arunachal Pradesh,5227.3574301
27,2003,Arunachal Pradesh,5795.7405197
28,2004,Arunachal Pradesh,6543.7680055
29,2005,Arunachal Pradesh,6734.0710334
30,2006,Arunachal Pradesh,7098.0915163
31,2007,Arunachal Pradesh,7949.9495315
32,2008,Arunachal Pradesh,8603.642793
33,2009,Arunachal Pradesh,9317.6229699
34,2010,Arunachal Pradesh,9720.1720671
35,2011,Arunachal Pradesh,10229.46
36,2012,Arunachal Pradesh,10398.77
37,2013,Arunachal Pradesh,11226.44
38,2014,Arunachal Pradesh,13081.6
39,2015,Arunachal Pradesh,12889.06
40,2016,Arunachal Pradesh,13396.43
41,2017,Arunachal Pradesh,13922.63
42,2018,Arunachal Pradesh,14897.1
43,2019,Arunachal Pradesh,17090.94
44,2020,Arunachal Pradesh,16588.48
45,2021,Arunachal Pradesh,
46,1999,Assam,74435.9503949
47,2000,Assam,76319.4629319
48,2001,Assam,78289.0124612
49,2002,Assam,83032.6736654
50,2003,Assam,88141.4107563
51,2004,Assam,91168.9827601
52,2005,Assam,93914.5985394
53,2006,Assam,98155.9186976
54,2007,Assam,102351.8869595
55,2008,Assam,108448.3450808
56,2009,Assam,118440.3320592
57,2010,Assam,124268.408209
58,2011,Assam,129354.12
59,2012,Assam,132517.6
60,2013,Assam,138724.76
61,2014,Assam,146425.386988
62,2015,Assam,167628.66595
63,2016,Assam,179631.896487
64,2017,Assam,195262.282089
65,2018,Assam,204627.058502
66,2019,Assam,212315.35
67,2020,Assam,199646.2
68,2021,Assam,
69,1999,Bihar,94977.9376033
70,2000,Bihar,110614.8384025
71,2001,Bihar,104271.4311831
72,2002,Bihar,117457.1421273
73,2003,Bihar,109882.9860909
74,2004,Bihar,123786.1184561
75,2005,Bihar,120702.783321
76,2006,Bihar,141591.8828573
77,2007,Bihar,148922.2741187
78,2008,Bihar,171625.470485
79,2009,Bihar,179834.9465579
80,2010,Bihar,207295.1926379
81,2011,Bihar,228497.44453
82,2012,Bihar,236932.551245
83,2013,Bihar,246914.742009
84,2014,Bihar,255738.812159
85,2015,Bihar,269199.601108
86,2016,Bihar,289264.874311
87,2017,Bihar,312605.136484
88,2018,Bihar,345545.451065
89,2019,Bihar,359195.555198
90,2020,Bihar,344182.984197
91,2021,Bihar,382274.491129
92,1999,Goa,14515.7588342
93,2000,Goa,13778.2436187
94,2001,Goa,14312.4860893
95,2002,Goa,15182.9104071
96,2003,Goa,16222.7286791
97,2004,Goa,17958.3651932
98,2005,Goa,19456.8425138
99,2006,Goa,21365.0863158
100,2007,Goa,22295.4240708
101,2008,Goa,24046.9088996
102,2009,Goa,26318.1355858
103,2010,Goa,31500.3062597
104,2011,Goa,38008.546486
105,2012,Goa,32452.850478
106,2013,Goa,27971.102293
107,2014,Goa,36041.681458
108,2015,Goa,41929.443298
109,2016,Goa,46370.679713
110,2017,Goa,47076.846724
111,2018,Goa,47424.527033
112,2019,Goa,48508.84285
113,2020,Goa,46420.956153
114,2021,Goa,
115,1999,Gujarat,200739.9423666
116,2000,Gujarat,187486.1300255
117,2001,Gujarat,202722.5912177
118,2002,Gujarat,220397.2332726
119,2003,Gujarat,257104.4366173
120,2004,Gujarat,272449.3578123
121,2005,Gujarat,311996.5449489
122,2006,Gujarat,338383.4783698
123,2007,Gujarat,378395.6474308
124,2008,Gujarat,394570.375799
125,2009,Gujarat,450323.9227272
126,2010,Gujarat,499605.6040329
127,2011,Gujarat,532809.458729
128,2012,Gujarat,596658.833674
129,2013,Gujarat,641488.810619
130,2014,Gujarat,705628.836007
131,2015,Gujarat,774775.215127
132,2016,Gujarat,843930.335881
133,2017,Gujarat,946511.194431
134,2018,Gujarat,1034399.010404
135,2019,Gujarat,1110178.596957
136,2020,Gujarat,1099258.598026
137,2021,Gujarat,
138,1999,Haryana,100163.6545538
139,2000,Haryana,108123.161511
140,2001,Haryana,116474.1890178
141,2002,Haryana,123614.6773118
142,2003,Haryana,135775.0939499
143,2004,Haryana,147482.6165469
144,2005,Haryana,160805.9553307
145,2006,Haryana,179089.4675824
146,2007,Haryana,193107.6941953
147,2008,Haryana,207976.1043076
148,2009,Haryana,233961.231557
149,2010,Haryana,249823.4552757
150,2011,Haryana,271152.480682
151,2012,Haryana,289756.220454
152,2013,Haryana,314931.196825
153,2014,Haryana,333359.247481
154,2015,Haryana,372700.245017
155,2016,Haryana,412054.614697
156,2017,Haryana,434407.172743
157,2018,Haryana,470327.643158
158,2019,Haryana,507776.004107
159,2020,Haryana,480470.514928
160,2021,Haryana,527733.120864
161,1999,Himachal Pradesh,27580.9832642
162,2000,Himachal Pradesh,29339.7770153
163,2001,Himachal Pradesh,30835.3047836
164,2002,Himachal Pradesh,32337.4695094
165,2003,Himachal Pradesh,34503.3299903
166,2004,Himachal Pradesh,37777.5623823
167,2005,Himachal Pradesh,41021.5488591
168,2006,Himachal Pradesh,44249.1525372
169,2007,Himachal Pradesh,46999.7471168
170,2008,Himachal Pradesh,49294.602103
171,2009,Himachal Pradesh,51967.447091
172,2010,Himachal Pradesh,56319.523936
173,2011,Himachal Pradesh,60536.249814
174,2012,Himachal Pradesh,64518.520678
175,2013,Himachal Pradesh,69398.155152
176,2014,Himachal Pradesh,74552.982497
177,2015,Himachal Pradesh,80562.915656
178,2016,Himachal Pradesh,88112.12233
179,2017,Himachal Pradesh,93524.97568
180,2018,Himachal Pradesh,99217.82697
181,2019,Himachal Pradesh,102613.022468
182,2020,Himachal Pradesh,98132.109794
183,2021,Himachal Pradesh,106003.793861
184,1999,Jammu & Kashmir,36669.9467727
185,2000,Jammu & Kashmir,37710.4595607
186,2001,Jammu & Kashmir,38436.6507774
187,2002,Jammu & Kashmir,40393.0315924
188,2003,Jammu & Kashmir,42468.6378311
189,2004,Jammu & Kashmir,44761.0175673
190,2005,Jammu & Kashmir,46834.3043584
191,2006,Jammu & Kashmir,49569.355377
192,2007,Jammu & Kashmir,52630.6396764
193,2008,Jammu & Kashmir,55926.4637485
194,2009,Jammu & Kashmir,58635.1689627
195,2010,Jammu & Kashmir,61986.6628807
196,2011,Jammu & Kashmir,65319.127928
197,2012,Jammu & Kashmir,67315.562709
198,2013,Jammu & Kashmir,70535.826401
199,2014,Jammu & Kashmir,67153.762872
200,2015,Jammu & Kashmir,80602.310279
201,2016,Jammu & Kashmir,82635.73144
202,2017,Jammu & Kashmir,87590.682903
203,2018,Jammu & Kashmir,93071.821797
204,2019,Jammu & Kashmir,90791.49123
205,2020,Jammu & Kashmir,87101.722718
206,2021,Jammu & Kashmir,97334.732362
207,1999,Jharkhand,74522.4047969
208,2000,Jharkhand,65731.2805286
209,2001,Jharkhand,70259.9668104
210,2002,Jharkhand,72227.2458811
211,2003,Jharkhand,77692.7317203
212,2004,Jharkhand,90933.6538866
213,2005,Jharkhand,86858.7727437
214,2006,Jharkhand,88314.3261633
215,2007,Jharkhand,107985.9699481
216,2008,Jharkhand,103643.8360002
217,2009,Jharkhand,113916.5552988
218,2010,Jharkhand,130488.9543595
219,2011,Jharkhand,137383.47
220,2012,Jharkhand,149526.29
221,2013,Jharkhand,150609.33
222,2014,Jharkhand,170568.0
223,2015,Jharkhand,158231.12
224,2016,Jharkhand,176363.12
225,2017,Jharkhand,191573.07
226,2018,Jharkhand,208701.46
227,2019,Jharkhand,209912.67
228,2020,Jharkhand,196467.21
229,2021,Jharkhand,213680.991208
230,1999,Karnataka,274427.4957297
231,2000,Karnataka,276258.3865464
232,2001,Karnataka,281266.0548067
233,2002,Karnataka,296352.7163877
234,2003,Karnataka,302124.2662471
235,2004,Karnataka,332758.3433893
236,2005,Karnataka,366993.4895299
237,2006,Karnataka,405152.1452699
238,2007,Karnataka,455993.4845757
239,2008,Karnataka,488433.5425002
240,2009,Karnataka,488554.9250672
241,2010,Karnataka,538790.6955123
242,2011,Karnataka,554952.202299
243,2012,Karnataka,593192.032871
244,2013,Karnataka,646786.94852
245,2014,Karnataka,671283.49797
246,2015,Karnataka,749951.613069
247,2016,Karnataka,851393.991487
248,2017,Karnataka,915641.892607
249,2018,Karnataka,974815.300088
250,2019,Karnataka,1030356.540507
251,2020,Karnataka,1026874.569396
252,2021,Karnataka,1127480.449565
253,1999,Kerala,144328.1163228
254,2000,Kerala,147974.0130992
255,2001,Kerala,155366.950885
256,2002,Kerala,166735.0922528
257,2003,Kerala,177541.0598597
258,2004,Kerala,194267.493393
259,2005,Kerala,214150.7366373
260,2006,Kerala,231069.2215745
261,2007,Kerala,251692.2406281
262,2008,Kerala,267167.5888867
263,2009,Kerala,291324.5256403
264,2010,Kerala,309969.0946772
265,2011,Kerala,328021.122926
266,2012,Kerala,348615.805536
267,2013,Kerala,364706.773146
268,2014,Kerala,382134.255452
269,2015,Kerala,411150.14943
270,2016,Kerala,443615.30071
271,2017,Kerala,473181.789805
272,2018,Kerala,510786.93361
273,2019,Kerala,521454.647656
274,2020,Kerala,472272.245796
275,2021,Kerala,506107.338744
276,1999,Madhya Pradesh,155240.7546512
277,2000,Madhya Pradesh,142623.6373679
278,2001,Madhya Pradesh,152826.3020635
279,2002,Madhya Pradesh,144856.4718406
280,2003,Madhya Pradesh,161105.9514238
281,2004,Madhya Pradesh,166392.1069122
282,2005,Madhya Pradesh,174775.744243
283,2006,Madhya Pradesh,190707.9783514
284,2007,Madhya Pradesh,199720.2561209
285,2008,Madhya Pradesh,224970.9800584
286,2009,Madhya Pradesh,246296.5721929
287,2010,Madhya Pradesh,259230.1690989
288,2011,Madhya Pradesh,282371.04
289,2012,Madhya Pradesh,306853.34
290,2013,Madhya Pradesh,322597.6
291,2014,Madhya Pradesh,339246.9
292,2015,Madhya Pradesh,370715.67
293,2016,Madhya Pradesh,419465.25
294,2017,Madhya Pradesh,441956.43
295,2018,Madhya Pradesh,482361.02
296,2019,Madhya Pradesh,508145.77
297,2020,Madhya Pradesh,490237.64
298,2021,Madhya Pradesh,539180.46
299,1999,Chhattisgarh,64589.7993398
300,2000,Chhattisgarh,60612.5415617
301,2001,Chhattisgarh,69095.3713323
302,2002,Chhattisgarh,67927.6614533
303,2003,Chhattisgarh,80688.4817088
304,2004,Chhattisgarh,85009.8210522
305,2005,Chhattisgarh,86399.6783214
306,2006,Chhattisgarh,102834.7538568
307,2007,Chhattisgarh,111148.2041749
308,2008,Chhattisgarh,118439.1841165
309,2009,Chhattisgarh,121728.8046057
310,2010,Chhattisgarh,133464.9164795
311,2011,Chhattisgarh,142273.416063
312,2012,Chhattisgarh,148760.304012
313,2013,Chhattisgarh,163494.326439
314,2014,Chhattisgarh,165354.208306
315,2015,Chhattisgarh,168878.88
316,2016,Chhattisgarh,187540.52
317,2017,Chhattisgarh,194073.22
318,2018,Chhattisgarh,209210.74
319,2019,Chhattisgarh,220623.97
320,2020,Chhattisgarh,215126.3
321,2021,Chhattisgarh,
322,1999,Maharashtra,476829.1587527
323,2000,Maharashtra,462181.6751331
324,2001,Maharashtra,478508.6139339
325,2002,Maharashtra,511507.1640366
326,2003,Maharashtra,551012.7797041
327,2004,Maharashtra,599027.6349564
328,2005,Maharashtra,685815.548872
329,2006,Maharashtra,780279.6914051
330,2007,Maharashtra,871095.9483975
331,2008,Maharashtra,884778.747654
332,2009,Maharashtra,970265.1970352
333,2010,Maharashtra,1080814.5878042
334,2011,Maharashtra,1126594.697875
335,2012,Maharashtra,1189710.839782
336,2013,Maharashtra,1267551.269731
337,2014,Maharashtra,1345341.463303
338,2015,Maharashtra,1452513.394888
339,2016,Maharashtra,1596120.747603
340,2017,Maharashtra,1661065.007215
341,2018,Maharashtra,1728577.953055
342,2019,Maharashtra,1782902.887551
343,2020,Maharashtra,1653093.956979
344,2021,Maharashtra,
345,1999,Manipur,6889.7608901
346,2000,Manipur,6448.9468047
347,2001,Manipur,6850.1109459
348,2002,Manipur,6812.7933513
349,2003,Manipur,7556.8128923
350,2004,Manipur,8256.5177897
351,2005,Manipur,8801.3263572
352,2006,Manipur,8954.0341808
353,2007,Manipur,9446.3258928
354,2008,Manipur,10137.7798874
355,2009,Manipur,10832.4803132
356,2010,Manipur,10513.5229221
357,2011,Manipur,11501.0658
358,2012,Manipur,11515.0726
359,2013,Manipur,12519.4623
360,2014,Manipur,13615.17
361,2015,Manipur,14635.16
362,2016,Manipur,15200.95
363,2017,Manipur,16870.36
364,2018,Manipur,16192.96
365,2019,Manipur,17755.88
366,2020,Manipur,18230.127381
367,2021,Manipur,
368,1999,Meghalaya,7691.5762989
369,2000,Meghalaya,8197.0022095
370,2001,Meghalaya,8745.5450225
371,2002,Meghalaya,9004.2464365
372,2003,Meghalaya,9564.7661668
373,2004,Meghalaya,10228.2873859
374,2005,Meghalaya,11028.0069994
375,2006,Meghalaya,11859.0216548
376,2007,Meghalaya,12232.1027094
377,2008,Meghalaya,13804.0838897
378,2009,Meghalaya,14691.2925775
379,2010,Meghalaya,16143.058564
380,2011,Meghalaya,18028.028379
381,2012,Meghalaya,18322.885371
382,2013,Meghalaya,18396.550715
383,2014,Meghalaya,17892.853958
384,2015,Meghalaya,18330.236973
385,2016,Meghalaya,19294.85847
386,2017,Meghalaya,19963.684975
387,2018,Meghalaya,20967.949753
388,2019,Meghalaya,21997.300044
389,2020,Meghalaya,20619.894708
390,2021,Meghalaya,22527.3451
391,1999,Mizoram,2674.6228515
392,2000,Mizoram,2775.1583203
393,2001,Mizoram,2949.6727192
394,2002,Mizoram,3234.2070651
395,2003,Mizoram,3338.5363252
396,2004,Mizoram,3488.3910807
397,2005,Mizoram,3746.6913504
398,2006,Mizoram,3914.5109314
399,2007,Mizoram,4344.4250397
400,2008,Mizoram,4996.5430889
401,2009,Mizoram,5570.6971385
402,2010,Mizoram,6598.3303986
403,2011,Mizoram,6404.14
404,2012,Mizoram,6836.44
405,2013,Mizoram,7831.452497
406,2014,Mizoram,9960.02
407,2015,Mizoram,10947.90345
408,2016,Mizoram,12029.372815
409,2017,Mizoram,13779.413027
410,2018,Mizoram,14115.984952
411,2019,Mizoram,13050.129592
412,2020,Mizoram,11780.58
413,2021,Mizoram,
414,1999,Nagaland,3920.3951591
415,2000,Nagaland,4584.308822
416,2001,Nagaland,5110.0323108
417,2002,Nagaland,5619.2330613
418,2003,Nagaland,5876.0865373
419,2004,Nagaland,6158.4751541
420,2005,Nagaland,6799.8632352
421,2006,Nagaland,7331.0079476
422,2007,Nagaland,7927.0264239
423,2008,Nagaland,8430.6244935
424,2009,Nagaland,8908.0276935
425,2010,Nagaland,9754.5672676
426,2011,Nagaland,10554.271869
427,2012,Nagaland,11163.016287
428,2013,Nagaland,11923.17526
429,2014,Nagaland,12406.409136
430,2015,Nagaland,12599.698641
431,2016,Nagaland,13487.893793
432,2017,Nagaland,14177.794986
433,2018,Nagaland,15054.702935
434,2019,Nagaland,15853.245957
435,2020,Nagaland,15200.448736
436,2021,Nagaland,
437,1999,Orissa,100841.852837
438,2000,Orissa,98181.5544719
439,2001,Orissa,104158.690779
440,2002,Orissa,103410.2356615
441,2003,Orissa,118510.6459277
442,2004,Orissa,133986.5968318
443,2005,Orissa,139934.2737927
444,2006,Orissa,157355.6063099
445,2007,Orissa,170849.5885002
446,2008,Orissa,183688.625707
447,2009,Orissa,185167.8378527
448,2010,Orissa,196839.6778694
449,2011,Orissa,204225.949639
450,2012,Orissa,216301.072227
451,2013,Orissa,233121.873955
452,2014,Orissa,235930.737717
453,2015,Orissa,253191.672643
454,2016,Orissa,293348.24823
455,2017,Orissa,316191.890506
456,2018,Orissa,338339.411038
457,2019,Orissa,346106.380594
458,2020,Orissa,326252.811494
459,2021,Orissa,365115.698253
460,1999,Punjab,126658.1642127
461,2000,Punjab,130869.8138609
462,2001,Punjab,132574.7758189
463,2002,Punjab,134832.8663829
464,2003,Punjab,143252.0223939
465,2004,Punjab,150374.3300627
466,2005,Punjab,157746.8313787
467,2006,Punjab,174759.6699571
468,2007,Punjab,189894.1594683
469,2008,Punjab,200421.2722428
470,2009,Punjab,213223.6778484
471,2010,Punjab,226995.4768816
472,2011,Punjab,239226.952142
473,2012,Punjab,251812.593817
474,2013,Punjab,267515.21
475,2014,Punjab,278484.6
476,2015,Punjab,294894.856617
477,2016,Punjab,315782.992402
478,2017,Punjab,335056.78566
479,2018,Punjab,353942.469249
480,2019,Punjab,367558.127843
481,2020,Punjab,352357.163992
482,2021,Punjab,376780.821393
483,1999,Rajasthan,180113.0796702
484,2000,Rajasthan,174260.9950852
485,2001,Rajasthan,194104.6611551
486,2002,Rajasthan,170786.1680972
487,2003,Rajasthan,225127.994208
488,2004,Rajasthan,219623.1494967
489,2005,Rajasthan,234376.8327693
490,2006,Rajasthan,261962.6382181
491,2007,Rajasthan,273898.802725
492,2008,Rajasthan,296930.5963142
493,2009,Rajasthan,314237.3713139
494,2010,Rajasthan,361435.8554958
495,2011,Rajasthan,395330.931678
496,2012,Rajasthan,409802.490807
497,2013,Rajasthan,434292.219285
498,2014,Rajasthan,465407.73111
499,2015,Rajasthan,501921.511436
500,2016,Rajasthan,529650.384499
501,2017,Rajasthan,557618.206976
502,2018,Rajasthan,568101.882953
503,2019,Rajasthan,598549.626192
504,2020,Rajasthan,583644.947977
505,2021,Rajasthan,648141.630149
506,1999,Sikkim,2246.6141488
507,2000,Sikkim,2390.5149244
508,2001,Sikkim,2587.2772093
509,2002,Sikkim,2781.1027437
510,2003,Sikkim,3001.3590328
511,2004,Sikkim,3236.2990745
512,2005,Sikkim,3560.8199939
513,2006,Sikkim,3770.5401784
514,2007,Sikkim,3989.2014778
515,2008,Sikkim,4511.5781706
516,2009,Sikkim,7837.8614503
517,2010,Sikkim,8628.5694055
518,2011,Sikkim,9742.176837
519,2012,Sikkim,9970.327238
520,2013,Sikkim,10589.856024
521,2014,Sikkim,11436.701632
522,2015,Sikkim,12484.213574
523,2016,Sikkim,13415.844927
524,2017,Sikkim,15204.358618
525,2018,Sikkim,15889.064047
526,2019,Sikkim,16587.706895
527,2020,Sikkim,16147.16712
528,2021,Sikkim,17442.454611
529,1999,Tamil Nadu,273325.5874045
530,2000,Tamil Nadu,288498.4181227
531,2001,Tamil Nadu,282908.7883863
532,2002,Tamil Nadu,284324.4625843
533,2003,Tamil Nadu,302043.2235134
534,2004,Tamil Nadu,337921.4310494
535,2005,Tamil Nadu,386683.3228327
536,2006,Tamil Nadu,447233.0158785
537,2007,Tamil Nadu,475248.285301
538,2008,Tamil Nadu,500383.6189228
539,2009,Tamil Nadu,552763.7099191
540,2010,Tamil Nadu,628151.2480917
541,2011,Tamil Nadu,674478.350422
542,2012,Tamil Nadu,709343.134844
543,2013,Tamil Nadu,750416.162318
544,2014,Tamil Nadu,791915.097307
545,2015,Tamil Nadu,862436.980516
546,2016,Tamil Nadu,922084.307219
547,2017,Tamil Nadu,1000308.163451
548,2018,Tamil Nadu,1071601.897325
549,2019,Tamil Nadu,1099401.758694
550,2020,Tamil Nadu,1094471.123531
551,2021,Tamil Nadu,1181922.770783
552,1999,Tripura,6682.7279719
553,2000,Tripura,7101.884842
554,2001,Tripura,8075.4584233
555,2002,Tripura,8615.0114157
556,2003,Tripura,9120.3778548
557,2004,Tripura,9868.0229104
558,2005,Tripura,10518.4553818
559,2006,Tripura,11424.1979081
560,2007,Tripura,12178.1096452
561,2008,Tripura,13463.4049867
562,2009,Tripura,14841.5985462
563,2010,Tripura,15962.0300499
564,2011,Tripura,17419.05
565,2012,Tripura,18857.21
566,2013,Tripura,20623.06
567,2014,Tripura,24406.6
568,2015,Tripura,23745.31
569,2016,Tripura,27203.6
570,2017,Tripura,29505.18
571,2018,Tripura,32703.15
572,2019,Tripura,33694.98
573,2020,Tripura,32615.26
574,2021,Tripura,35394.601942
575,1999,Uttar Pradesh,344049.9205989
576,2000,Uttar Pradesh,351084.1089774
577,2001,Uttar Pradesh,357471.0467097
578,2002,Uttar Pradesh,369038.1836814
579,2003,Uttar Pradesh,388468.8674867
580,2004,Uttar Pradesh,407921.4919919
581,2005,Uttar Pradesh,431731.0483276
582,2006,Uttar Pradesh,466023.3283118
583,2007,Uttar Pradesh,495889.8633084
584,2008,Uttar Pradesh,533571.8096457
585,2009,Uttar Pradesh,566760.9860888
586,2010,Uttar Pradesh,612018.7067716
587,2011,Uttar Pradesh,645131.553217
588,2012,Uttar Pradesh,673552.189347
589,2013,Uttar Pradesh,707469.104121
590,2014,Uttar Pradesh,729686.3008
591,2015,Uttar Pradesh,792048.75936
592,2016,Uttar Pradesh,888453.00797
593,2017,Uttar Pradesh,922457.512487
594,2018,Uttar Pradesh,949184.454018
595,2019,Uttar Pradesh,980106.319673
596,2020,Uttar Pradesh,910010.736804
597,2021,Uttar Pradesh,948838.571
598,1999,Uttarakhand,27384.9056941
599,2000,Uttarakhand,30799.7571684
600,2001,Uttarakhand,32261.1667241
601,2002,Uttarakhand,35281.9027236
602,2003,Uttarakhand,38072.534036
603,2004,Uttarakhand,43080.982865
604,2005,Uttarakhand,49189.0541775
605,2006,Uttarakhand,55116.2983736
606,2007,Uttarakhand,64750.7207447
607,2008,Uttarakhand,71643.1429636
608,2009,Uttarakhand,83903.4340797
609,2010,Uttarakhand,92717.0888381
610,2011,Uttarakhand,101959.625698
611,2012,Uttarakhand,109528.494544
612,2013,Uttarakhand,117777.508407
613,2014,Uttarakhand,125701.663137
614,2015,Uttarakhand,136143.511531
615,2016,Uttarakhand,150302.942719
616,2017,Uttarakhand,162204.786083
617,2018,Uttarakhand,166518.80791
618,2019,Uttarakhand,166351.076431
619,2020,Uttarakhand,156791.583851
620,2021,Uttarakhand,167486.569662
621,1999,West Bengal,239574.6553299
622,2000,West Bengal,247972.2633412
623,2001,West Bengal,265880.2771468
624,2002,West Bengal,275199.4805728
625,2003,West Bengal,291369.4648514
626,2004,West Bengal,310686.6401106
627,2005,West Bengal,330249.3539621
628,2006,West Bengal,356170.7914031
629,2007,West Bengal,383881.2012807
630,2008,West Bengal,399354.6414195
631,2009,West Bengal,430366.1837455
632,2010,West Bengal,456461.6610105
633,2011,West Bengal,473204.651118
634,2012,West Bengal,492901.166371
635,2013,West Bengal,503951.567141
636,2014,West Bengal,515701.602897
637,2015,West Bengal,546988.050863
638,2016,West Bengal,584910.827282
639,2017,West Bengal,623786.822041
640,2018,West Bengal,659287.894247
641,2019,West Bengal,697554.47184
642,2020,West Bengal,706648.326697
643,2021,West Bengal,
644,1999,Andaman & Nicobar Islands,1247.3883961
645,2000,Andaman & Nicobar Islands,1247.3883961
646,2001,Andaman & Nicobar Islands,1275.6704719
647,2002,Andaman & Nicobar Islands,1411.1267297
648,2003,Andaman & Nicobar Islands,1559.9797602
649,2004,Andaman & Nicobar Islands,1619.5209724
650,2005,Andaman & Nicobar Islands,1705.9924916
651,2006,Andaman & Nicobar Islands,2012.7271365
652,2007,Andaman & Nicobar Islands,2219.654041
653,2008,Andaman & Nicobar Islands,2557.8247728
654,2009,Andaman & Nicobar Islands,2887.2702753
655,2010,Andaman & Nicobar Islands,3138.7589504
656,2011,Andaman & Nicobar Islands,3403.621748
657,2012,Andaman & Nicobar Islands,3557.523694
658,2013,Andaman & Nicobar Islands,3811.152063
659,2014,Andaman & Nicobar Islands,4151.069428
660,2015,Andaman & Nicobar Islands,4483.208993
661,2016,Andaman & Nicobar Islands,5090.617065
662,2017,Andaman & Nicobar Islands,5749.685598
663,2018,Andaman & Nicobar Islands,6107.629334
664,2019,Andaman & Nicobar Islands,6430.234907
665,2020,Andaman & Nicobar Islands,
666,2021,Andaman & Nicobar Islands,
667,1999,Chandigarh,6386.5236375
668,2000,Chandigarh,7198.3127707
669,2001,Chandigarh,7829.8914532
670,2002,Chandigarh,8816.8384078
671,2003,Chandigarh,9775.1537954
672,2004,Chandigarh,10773.8902186
673,2005,Chandigarh,11951.6754777
674,2006,Chandigarh,13718.0489852
675,2007,Chandigarh,14730.1234699
676,2008,Chandigarh,15838.2549904
677,2009,Chandigarh,16659.4612426
678,2010,Chandigarh,16655.5821523
679,2011,Chandigarh,16929.978242
680,2012,Chandigarh,18305.194358
681,2013,Chandigarh,19813.454499
682,2014,Chandigarh,20353.085486
683,2015,Chandigarh,22058.159268
684,2016,Chandigarh,23842.400138
685,2017,Chandigarh,25289.46
686,2018,Chandigarh,26654.15
687,2019,Chandigarh,27817.32
688,2020,Chandigarh,24422.19
689,2021,Chandigarh,
690,1999,Delhi,121464.2128381
691,2000,Delhi,126215.9735435
692,2001,Delhi,131069.7950434
693,2002,Delhi,141114.4760151
694,2003,Delhi,148804.6381958
695,2004,Delhi,164908.8821451
696,2005,Delhi,181895.7369604
697,2006,Delhi,204478.7109158
698,2007,Delhi,227528.5811961
699,2008,Delhi,255870.0905104
700,2009,Delhi,276906.2527123
701,2010,Delhi,299873.9628476
702,2011,Delhi,314650.021309
703,2012,Delhi,334193.296285
704,2013,Delhi,356527.512626
705,2014,Delhi,387638.739522
706,2015,Delhi,431729.585981
707,2016,Delhi,461592.377529
708,2017,Delhi,487631.14572
709,2018,Delhi,506332.474484
710,2019,Delhi,521994.113247
711,2020,Delhi,496284.265483
712,2021,Delhi,548057.858721
713,1999,Puducherry,6198.741392
714,2000,Puducherry,7081.5210164
715,2001,Puducherry,7561.4788705
716,2002,Puducherry,8311.4130174
717,2003,Puducherry,8684.2374219
718,2004,Puducherry,7499.3414697
719,2005,Puducherry,9498.9731529
720,2006,Puducherry,9855.5489551
721,2007,Puducherry,10634.723182
722,2008,Puducherry,11610.3709591
723,2009,Puducherry,13703.2180624
724,2010,Puducherry,14619.8164933
725,2011,Puducherry,15159.56
726,2012,Puducherry,15507.37
727,2013,Puducherry,17238.51
728,2014,Puducherry,16054.682471
729,2015,Puducherry,17024.664974
730,2016,Puducherry,18283.791161
731,2017,Puducherry,20024.157788
732,2018,Puducherry,23467.781203
733,2019,Puducherry,23672.068269
734,2020,Puducherry,22815.599086
735,2021,Puducherry,23666.382041
736,1999,Telangana,
737,2000,Telangana,
738,2001,Telangana,
739,2002,Telangana,
740,2003,Telangana,
741,2004,Telangana,161790.0415709
742,2005,Telangana,187776.1779824
743,2006,Telangana,208478.0615525
744,2007,Telangana,229693.2189788
745,2008,Telangana,260994.8059207
746,2009,Telangana,261702.8578216
747,2010,Telangana,307974.0313275
748,2011,Telangana,325139.34
749,2012,Telangana,334204.72
750,2013,Telangana,349592.66
751,2014,Telangana,372896.74
752,2015,Telangana,416892.372407
753,2016,Telangana,455731.09
754,2017,Telangana,498145.46
755,2018,Telangana,544440.594844
756,2019,Telangana,572736.397016
757,2020,Telangana,537753.286815
758,2021,Telangana,599614.010638
